,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
93,حفاري,حفاري شمال,1364,14992373,80229058360,5140,5130,5390,250,4.86,5350,210,4.09,5130,5390
94,سبجنو,سيمان‌ بجنورد,1345,3822559,134125602210,33490,32660,35160,1670,4.99,35090,1600,4.78,32660,35160
95,وخارزم,سرمايه گذاري خوارزمي,1319,24601361,89337239177,3473,3410,3646,173,4.98,3631,158,4.55,3410,3646
96,ومهان,گروه توسعه مالي مهر آيندگان,1314,3670153,43312698409,11671,11670,11820,149,1.28,11791,120,1.03,11670,11990
97,شيران,س. صنايع‌شيميايي‌ايران,1305,2316708,44893256700,18950,19450,19250,300,1.58,19210,260,1.37,19000,19700
98,افران,صندوق س افرا نماد پايدار-ثابت,1293,21926264,293560642824,13381,13388,13390,9,0.07,13389,8,0.06,13381,13394
99,سشرق,سيمان‌ شرق‌,1282,17690631,94641335900,5130,5150,5380,250,4.87,5350,220,4.29,5100,5380
100,درهآور,دارويي ره آورد تامين,1225,1220667,31690598024,26122,26600,25619,-503,-1.93,25962,-160,-0.61,25020,26600
101,شلرد,كود شيميايي اوره لردگان,1199,8017939,44732901334,5723,5768,5561,-162,-2.83,5579,-144,-2.52,5552,5768
102,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,1194,5097931,49806841210,9720,9650,9720,0,0,9740,20,0.21,9560,9980
103,ساراب,سيمان‌ داراب‌,1187,2489637,49665005040,19700,19120,20000,300,1.52,19950,250,1.27,19120,20400
104,والبر,سرمايه‌ گذاري‌ البرز(هلدينگ‌,1180,6183235,75829290410,11710,12210,12290,580,4.95,12260,550,4.7,12000,12290
105,غسالم,سالمين‌,1173,14048573,45358794640,3081,3235,3235,154,5,3229,148,4.8,3030,3235
